listing_id,name,description,text,llama_response
1.0775913743808911e+18,Nice room Hôtel Saint André DWT,"Welcome to our hotel room, where comfort and simplicity meet to create a cozy and welcoming atmosphere. Our cozy bed promises peaceful nights, while the bathroom is designed with a modern aesthetic to suit your needs for refreshment and relaxation. Whether for a business trip or a romantic getaway, our room has everything you need for a pleasant and relaxing stay.","Nice room Hôtel Saint André DWT
Welcome to our hotel room, where comfort and simplicity meet to create a cozy and welcoming atmosphere. Our cozy bed promises peaceful nights, while the bathroom is designed with a modern aesthetic to suit your needs for refreshment and relaxation. Whether for a business trip or a romantic getaway, our room has everything you need for a pleasant and relaxing stay.",
635179.0,Backyard house short or long term,,"Backyard house short or long term
",
9.172263112071548e+17,Condo Near Atwater Market,"There is no better place to experience Montreal’s entertainment and natural beauty than this condo near Atwater Market. Stay in one of the most desirable Montreal neighbourhoods and enjoy a luxurious balcony with a prime view of the park and Lachine Canal. This fully furnished, 1-bedroom, this 1-bathroom condo offers world-class amenities on site. These amenities include a private movie theatre, a sauna, pool, and exercise facilities.","Condo Near Atwater Market
There is no better place to experience Montreal’s entertainment and natural beauty than this condo near Atwater Market. Stay in one of the most desirable Montreal neighbourhoods and enjoy a luxurious balcony with a prime view of the park and Lachine Canal. This fully furnished, 1-bedroom, this 1-bathroom condo offers world-class amenities on site. These amenities include a private movie theatre, a sauna, pool, and exercise facilities.",
1.103031278299392e+18,"Self check-in, kitchen, bedroom","Centrally located apartment, near Central bus station and metro, cultural district, restaurants, groceries and many shops. Smart roku TV, wifi, basic cooking equipment, dishware, complementary coffee, shampoo, body wash, and towels provided. 1 queen bed, ideal for 2.","Self check-in, kitchen, bedroom
Centrally located apartment, near Central bus station and metro, cultural district, restaurants, groceries and many shops. Smart roku TV, wifi, basic cooking equipment, dishware, complementary coffee, shampoo, body wash, and towels provided. 1 queen bed, ideal for 2.",
35336256.0,Cozy 2BDRS AAA location Mile End #65,"Plateau PRIME SUITES! are brand new high end apartments located in the the Mile End area of Le Plateau-Mont-Royal surrounded with great shops, food and more.<br /><br />This unit offers two cozy bedrooms and and an open kitchen and living area, beautiful bathroom with bathtub.<br /><br />Air condition in the entire apartment","Cozy 2BDRS AAA location Mile End #65
Plateau PRIME SUITES! are brand new high end apartments located in the the Mile End area of Le Plateau-Mont-Royal surrounded with great shops, food and more.<br /><br />This unit offers two cozy bedrooms and and an open kitchen and living area, beautiful bathroom with bathtub.<br /><br />Air condition in the entire apartment",
1.018090164040317e+18,*Europa - Modern and Historic*,"Enjoy a stylish experience at this centrally located place. Treat yourself in a designer Old Montreal apartment:<br />-Central Old Montreal/Downtown - Enjoy the architecture, shopping, restaurants, museums and nightlife of Montreal<br />-Elegantly designed apartment in a prestigious architectural building<br />-Luxury queen size bed with high quality linens and toiletries<br />-Cleanliness is my priority!","*Europa - Modern and Historic*
Enjoy a stylish experience at this centrally located place. Treat yourself in a designer Old Montreal apartment:<br />-Central Old Montreal/Downtown - Enjoy the architecture, shopping, restaurants, museums and nightlife of Montreal<br />-Elegantly designed apartment in a prestigious architectural building<br />-Luxury queen size bed with high quality linens and toiletries<br />-Cleanliness is my priority!",
1.0247021692462204e+18,A prviate room with private room attached in,"The room closes to Metro Station, grocery store, liquor store, pharmacy, bank (ATMs or branch), convenience store restaurants and bars. They can all be reached within walking distance.","A prviate room with private room attached in
The room closes to Metro Station, grocery store, liquor store, pharmacy, bank (ATMs or branch), convenience store restaurants and bars. They can all be reached within walking distance.",
6.277708309683603e+17,Appartement rénové au cœur du quartier St Henri,"Welcome in our recently renovated accommodation, you can enjoy all the amenities and comforts as well as the proximity to services.<br /><br />The accommodation is located near the Lachine Canal, shops, grocery stores, restaurants and public transport to on the various points of interest in the city (Atwater Market, Downtown, Old Port, Mount Royal, Botanical Garden, Parc Jean Drapeau, etc).","Appartement rénové au cœur du quartier St Henri
Welcome in our recently renovated accommodation, you can enjoy all the amenities and comforts as well as the proximity to services.<br /><br />The accommodation is located near the Lachine Canal, shops, grocery stores, restaurants and public transport to on the various points of interest in the city (Atwater Market, Downtown, Old Port, Mount Royal, Botanical Garden, Parc Jean Drapeau, etc).",
9.172658366966642e+17,Downtown 1 bed with Free parking,"Licence number : 311579<br />New one bedroom apart, located in the heart of Downtown and Le Quartier des Spectables.Everything is new,fully equipped space  for guests to enjoy during their stay. You are only steps away from local restaurants, cafes and the citys nightlife! The apartment is walking distance from Chinatown, Place des Arts, the Old Port as well as Old Montreal. You can attend Montreals most popular festivals, events and festivities with the metro station only steps away from the apart.","Downtown 1 bed with Free parking
Licence number : 311579<br />New one bedroom apart, located in the heart of Downtown and Le Quartier des Spectables.Everything is new,fully equipped space  for guests to enjoy during their stay. You are only steps away from local restaurants, cafes and the citys nightlife! The apartment is walking distance from Chinatown, Place des Arts, the Old Port as well as Old Montreal. You can attend Montreals most popular festivals, events and festivities with the metro station only steps away from the apart.",
6.391415611336122e+17,F - 05 loft,Enjoy a stylish experience at this centrally located place.,"F - 05 loft
Enjoy a stylish experience at this centrally located place.",
