listing_id,name,description,text,llama_response
8.587186605933873e+17,Renovated 2 Bedroom (2023),"This newly renovated (2023) apartment in the heart of Plateau Mont-Royal, has 2 bedrooms and 1 bathroom.  Everything is brand new. <br />Walking distance to St-Laurent and St-Denis streets , Mont-Royal and Quartier des Spectacles. <br /><br />Split-unit ACs (in living room)<br /><br />You can rely on our team of hosts, housekeepers and handymen to ensure a stress free and delightful stay.<br /><br />On 3rd floor. Must climb a flight of stairs. Not ideal for young children","Renovated 2 Bedroom (2023)
This newly renovated (2023) apartment in the heart of Plateau Mont-Royal, has 2 bedrooms and 1 bathroom.  Everything is brand new. <br />Walking distance to St-Laurent and St-Denis streets , Mont-Royal and Quartier des Spectacles. <br /><br />Split-unit ACs (in living room)<br /><br />You can rely on our team of hosts, housekeepers and handymen to ensure a stress free and delightful stay.<br /><br />On 3rd floor. Must climb a flight of stairs. Not ideal for young children",<coroutine object preguntar_llama at 0x11c071180>
8.884587340246276e+17,Luxury Old Montreal Parking & Yard Patio 10 Guests,Amazing freshly renovated 2 floors apartment at the edge between heart of Downtown/Old Montreal/Village<br /><br />2 free parking on site comes with the rental <br /><br />Huge private courtyard with dining sets and BBQ grill<br /><br />Please note that the heatpumps are reponsible for air conditionning and heating. They were added after the pictures were taken. There is one head on each floor capable of heating/cooling/dehumidify if you would like to see the pictures please request it in your inquiry.,"Luxury Old Montreal Parking & Yard Patio 10 Guests
Amazing freshly renovated 2 floors apartment at the edge between heart of Downtown/Old Montreal/Village<br /><br />2 free parking on site comes with the rental <br /><br />Huge private courtyard with dining sets and BBQ grill<br /><br />Please note that the heatpumps are reponsible for air conditionning and heating. They were added after the pictures were taken. There is one head on each floor capable of heating/cooling/dehumidify if you would like to see the pictures please request it in your inquiry.",<coroutine object preguntar_llama at 0x11c073e10>
10501253.0,Super cosy 4 pieces fully equipped on the Plateau,"Cosy apartment, freshly furnished, at the garden level of an old victorian house of the Plateau (1885). Half basement with plenty of light. Two steps from Square Saint-Louis and Sherbrooke metro, the apartment is located in the heart of the city : Mont-Royal, festivals, restaurants, parks, nightlife, shopping, everything you need is at hand. Welcome to families :) Our house is walking distance to most attractions in a safe, but very vibrant neighbourhood. Walk score & Bike score 100 %","Super cosy 4 pieces fully equipped on the Plateau
Cosy apartment, freshly furnished, at the garden level of an old victorian house of the Plateau (1885). Half basement with plenty of light. Two steps from Square Saint-Louis and Sherbrooke metro, the apartment is located in the heart of the city : Mont-Royal, festivals, restaurants, parks, nightlife, shopping, everything you need is at hand. Welcome to families :) Our house is walking distance to most attractions in a safe, but very vibrant neighbourhood. Walk score & Bike score 100 %",<coroutine object preguntar_llama at 0x11c073ca0>
9.224969833164932e+17,Cozy classy condo,"Condo located in Lachine, 3 bedroom, 2 bathroom, bus access, 400  meters, along the water, all included, a spacious and well insulated haven.","Cozy classy condo
Condo located in Lachine, 3 bedroom, 2 bathroom, bus access, 400  meters, along the water, all included, a spacious and well insulated haven.",<coroutine object preguntar_llama at 0x11c073b30>
1.0912872229810472e+18,Luxe Vert et Or : Charme Urbain,"Immerse yourself in the green and golden elegance of this urban studio. Its refined decor, mixing bright green and luxurious gold, creates a unique atmosphere. Enjoy modern comforts and privacy in this chic space, ideally located for exploring the city. Welcome to your urban hideaway, where style meets convenience.","Luxe Vert et Or : Charme Urbain
Immerse yourself in the green and golden elegance of this urban studio. Its refined decor, mixing bright green and luxurious gold, creates a unique atmosphere. Enjoy modern comforts and privacy in this chic space, ideally located for exploring the city. Welcome to your urban hideaway, where style meets convenience.",<coroutine object preguntar_llama at 0x11c0739c0>
2041714.0,This is it!,"( For your safety and peace of mind, all common areas in the apt are thoroughly disinfected prior to your arrival).<br />On a secluded alley like street, only meters from iconic Park Lafontaine in the Heart of trendy Plateau Mont-Royal (Parking included -block away). Although generally quiet apt, there are3 toddlers upstairs. The flat is only available on a monthly basis at the moment (31 day minimum -  negotiable).","This is it!
( For your safety and peace of mind, all common areas in the apt are thoroughly disinfected prior to your arrival).<br />On a secluded alley like street, only meters from iconic Park Lafontaine in the Heart of trendy Plateau Mont-Royal (Parking included -block away). Although generally quiet apt, there are3 toddlers upstairs. The flat is only available on a monthly basis at the moment (31 day minimum -  negotiable).",<coroutine object preguntar_llama at 0x11c073850>
24579106.0,Montreal studio with kitchen,"Studio with complete kitchen, with everything you need to cook (refrigerator, stove, microwave oven, kettle, coffee machine, covers and plates). <br /><br />10-15 minutes from the metro in public transportation. 10 minutes from the grocery store, liquor store and restaurants, walking distance.<br /><br />Alongside a nice riverside park along the St-Laurent River.<br /><br />Washer and dryer available for free.<br /><br />Fully equipped with TV, DVD player and Wi-Fi Internet.<br /><br />Feel free to contact us for more information!","Montreal studio with kitchen
Studio with complete kitchen, with everything you need to cook (refrigerator, stove, microwave oven, kettle, coffee machine, covers and plates). <br /><br />10-15 minutes from the metro in public transportation. 10 minutes from the grocery store, liquor store and restaurants, walking distance.<br /><br />Alongside a nice riverside park along the St-Laurent River.<br /><br />Washer and dryer available for free.<br /><br />Fully equipped with TV, DVD player and Wi-Fi Internet.<br /><br />Feel free to contact us for more information!",<coroutine object preguntar_llama at 0x11c0736e0>
17567531.0,Majestic 2-floor Water View Loft,"Huge 2300 square foot designer penthouse located in the heart of old Montreal with spectacular views, charming and chic style with amenities and activities  at your doorstep. This two floor luxury Loft offers self check in/out and features a chefs kitchen, fascinating art, pool table, piano and much more. This loft also features three bedrooms, one of which is partitioned with privacy curtains. There are two nearby parking lots (across the street) in the science centre that charges 20-25$/day.","Majestic 2-floor Water View Loft
Huge 2300 square foot designer penthouse located in the heart of old Montreal with spectacular views, charming and chic style with amenities and activities  at your doorstep. This two floor luxury Loft offers self check in/out and features a chefs kitchen, fascinating art, pool table, piano and much more. This loft also features three bedrooms, one of which is partitioned with privacy curtains. There are two nearby parking lots (across the street) in the science centre that charges 20-25$/day.",<coroutine object preguntar_llama at 0x11c073570>
1.0957738677328548e+18,Stylish 1 bdr in Little Italy,,"Stylish 1 bdr in Little Italy
",<coroutine object preguntar_llama at 0x11c071d00>
9.370363379687044e+17,Historic Griffintown apartment,"Rare historic duplex smack in the middle of high rises, something you'd only see in the animated Disney movie ""Up"". <br /><br />One of the trendiest neighbourhoods of Montreal. Stone's throw from the Old port, Bell Center, and Canal Lachine.<br /><br />Great for anyone looking to visit or work from out of town in style. Steps away from the metro (Lucien-L'Allier, Bonaventure) and the trendy Notre-Dame Street. Close to literally everything Montreal has to offer!<br /><br />I'm sure that you'll enjoy our home as much as we do.","Historic Griffintown apartment
Rare historic duplex smack in the middle of high rises, something you'd only see in the animated Disney movie ""Up"". <br /><br />One of the trendiest neighbourhoods of Montreal. Stone's throw from the Old port, Bell Center, and Canal Lachine.<br /><br />Great for anyone looking to visit or work from out of town in style. Steps away from the metro (Lucien-L'Allier, Bonaventure) and the trendy Notre-Dame Street. Close to literally everything Montreal has to offer!<br /><br />I'm sure that you'll enjoy our home as much as we do.",<coroutine object preguntar_llama at 0x11c073400>
