listing_id,name,description,text
5.890448277543891e+17,Modern Downtown Condo Metro Beaudry Villemarie,"New arrival, privileged location, in the heart of the village, 50 meters from Beaudry metro station and a few steps from the famous St-Catherine street. Close to downtown, Old Montreal, shopping malls, universities, night live. Around the action but away from the noise on a quiet street.  A bedroom with access to a large interior courtyard back. Recently tastefully modern taste, bright open space, fully furnished.  Non-smoking, No pets.","Modern Downtown Condo Metro Beaudry Villemarie
New arrival, privileged location, in the heart of the village, 50 meters from Beaudry metro station and a few steps from the famous St-Catherine street. Close to downtown, Old Montreal, shopping malls, universities, night live. Around the action but away from the noise on a quiet street.  A bedroom with access to a large interior courtyard back. Recently tastefully modern taste, bright open space, fully furnished.  Non-smoking, No pets."
51140733.0,"Modern Apartment in Villeray  - Desk, Wifi & AC","Experience the Montreal life in this elegant, completely renovated studio in Villeray ⚘<br /><br />Our charming apartment will make you feel at home, thanks to:<br />✧ Its wall-mounted air conditioning and heated floors<br />✧ Its private and illuminated balcony<br />✧ Its brand new 6 appliances<br />✧ Its workspace and Wifi<br />✧ Its location a few steps from the Jean-Talon market, the metro and Jarry Park and many other services!","Modern Apartment in Villeray  - Desk, Wifi & AC
Experience the Montreal life in this elegant, completely renovated studio in Villeray ⚘<br /><br />Our charming apartment will make you feel at home, thanks to:<br />✧ Its wall-mounted air conditioning and heated floors<br />✧ Its private and illuminated balcony<br />✧ Its brand new 6 appliances<br />✧ Its workspace and Wifi<br />✧ Its location a few steps from the Jean-Talon market, the metro and Jarry Park and many other services!"
7.059809190258483e+17,Cozy&Clean Apt-Great Central location+free parking,"Lovely 1 bdr apt in an amazing location! Semi-basement with great natural light and private entrance. Situated right between airport and downtown (12 min to airport, 10 to DT). Great safe neighbourhood with mature trees, shops & restaurants on corner of street and large park on the other corner. 5 min walk to Subway station, bus to downtown on the corner and near highways for easy access to anywhere. Well equipped kitchen, 2 TVs with Netflix/Disney+/etc. Fast Wifi. Free parking spot in driveway!","Cozy&Clean Apt-Great Central location+free parking
Lovely 1 bdr apt in an amazing location! Semi-basement with great natural light and private entrance. Situated right between airport and downtown (12 min to airport, 10 to DT). Great safe neighbourhood with mature trees, shops & restaurants on corner of street and large park on the other corner. 5 min walk to Subway station, bus to downtown on the corner and near highways for easy access to anywhere. Well equipped kitchen, 2 TVs with Netflix/Disney+/etc. Fast Wifi. Free parking spot in driveway!"
52134657.0,Cozy Bright 4-1/2 Apartment,,"Cozy Bright 4-1/2 Apartment
"
8.274528220862564e+17,Enjoy the O-Port / Spacious 2 BR,"Make some memories at this unique and family-friendly place.<br /><br />You will love the marble floor and the high end design of every room. Within your space, you'll find modern accents and stainless steel appliances.<br /><br /><br />Just steps away from boutiques, museums, art galleries and restaurants and a pleasant stroll from the sensational festivals and events of old port.<br /><br />We don't have parking included but it's easy to find free street parking. Otherwies, we recommend using Parkopedia to find parking stations","Enjoy the O-Port / Spacious 2 BR
Make some memories at this unique and family-friendly place.<br /><br />You will love the marble floor and the high end design of every room. Within your space, you'll find modern accents and stainless steel appliances.<br /><br /><br />Just steps away from boutiques, museums, art galleries and restaurants and a pleasant stroll from the sensational festivals and events of old port.<br /><br />We don't have parking included but it's easy to find free street parking. Otherwies, we recommend using Parkopedia to find parking stations"
9.231032647624476e+17,"private room, 5 minutes walking to Metro 921","The private roomcloses to Metro Station, grocery store, liquor store, pharmacy, bank (ATMs or branch), convenience store restaurants and bars. They can all be reached within walking distance.","private room, 5 minutes walking to Metro 921
The private roomcloses to Metro Station, grocery store, liquor store, pharmacy, bank (ATMs or branch), convenience store restaurants and bars. They can all be reached within walking distance."
1.0240603222337522e+18,Cozy Upper-Duplex (2 out of 3 bdr. available),,"Cozy Upper-Duplex (2 out of 3 bdr. available)
"
6.01395628299846e+17,☆ Upscale & Modern ☆ ideal for professionals☆,"Simplistic in theory but extraordinary in design, the apartments are made to provide travelers with all of the modern conveniences and comforts of home with none of the fuss. A fully equipped kitchen is ready to be used the minute you step through the door, and the spacious living and dining area is well suited for relaxing or entertaining.<br />This unit is an excellent choice for relocations, insurance and professionals.<br />Parking upon availability. ($)","☆ Upscale & Modern ☆ ideal for professionals☆
Simplistic in theory but extraordinary in design, the apartments are made to provide travelers with all of the modern conveniences and comforts of home with none of the fuss. A fully equipped kitchen is ready to be used the minute you step through the door, and the spacious living and dining area is well suited for relaxing or entertaining.<br />This unit is an excellent choice for relocations, insurance and professionals.<br />Parking upon availability. ($)"
37020879.0,Private room 5 minutes away from Jean-Talon Metro,,"Private room 5 minutes away from Jean-Talon Metro
"
1.0415531048334484e+18,"Cozy private room, in Montreal EST 3","The room closes to Metro Station, grocery store, and fast food restaurants. They can be reaced by walking or just minutes of driving.","Cozy private room, in Montreal EST 3
The room closes to Metro Station, grocery store, and fast food restaurants. They can be reaced by walking or just minutes of driving."
