listing_id,name,description,text,gpt_response
35759076.0,Bright flat in Montreal - Appartement lumineux,"Bright 2 bedroom flat in a friendly and authentic neighborhood! All you need within a short walk to the animated local commercial street. Quickly get to Montreal's best faculties and activities by bus, metro or bike, many options available. Live Montreal like a local! <br />Bright apartment on the second floor of a duplex in a central area of Montreal. Family atmosphere, commercial street just a stone's throw away. Quick and easy access to universities and activities  by bus, metro, or bike.","Bright flat in Montreal - Appartement lumineux
Bright 2 bedroom flat in a friendly and authentic neighborhood! All you need within a short walk to the animated local commercial street. Quickly get to Montreal's best faculties and activities by bus, metro or bike, many options available. Live Montreal like a local! <br />Bright apartment on the second floor of a duplex in a central area of Montreal. Family atmosphere, commercial street just a stone's throw away. Quick and easy access to universities and activities  by bus, metro, or bike.","{
    ""Name"": ""Bright flat in Montreal - Appartement lumineux"",
    ""Location"": ""Montreal"",
    ""MainCharacteristic"": ""Bright 2 bedroom flat in a friendly and authentic neighborhood"",
    ""Type"": ""Apartment""
}"
637533.0,Charming Downtown Montreal,Charm & standing for your stay in Montreal<br /><br />Our apartments have been completely renovated and are located in a private mansion dating back to 1870<br /><br />Officially registered as tourist residences and a proud member of the CITQ (Corporation de l'industrie touristique du Québec)<br /><br />Private courtyard parking is a rarity in downtown Montreal,"Charming Downtown Montreal
Charm & standing for your stay in Montreal<br /><br />Our apartments have been completely renovated and are located in a private mansion dating back to 1870<br /><br />Officially registered as tourist residences and a proud member of the CITQ (Corporation de l'industrie touristique du Québec)<br /><br />Private courtyard parking is a rarity in downtown Montreal","{
    ""Name"": ""Charming Downtown Montreal"",
    ""Location"": ""Montreal"",
    ""MainCharacteristic"": ""Completely renovated apartments in a private mansion from 1870 with private courtyard parking"",
    ""Type"": ""Tourist residences""
}"
7.822779765606516e+17,Stunning 2BR - Old Montreal 2A,"Welcome to Hotel Le Moyne; Experience the allure of Old Montreal as you wake up to breathtaking views of its historical charm. This Cozy 2-bedroom apartment seamlessly blends contemporary style with the preservation of the building's rich heritage. Perfectly suited for couples or business travelers, our 2-bedroom apartment offers two comfortable queen size beds and a full washroom, ensuring a delightful stay.","Stunning 2BR - Old Montreal 2A
Welcome to Hotel Le Moyne; Experience the allure of Old Montreal as you wake up to breathtaking views of its historical charm. This Cozy 2-bedroom apartment seamlessly blends contemporary style with the preservation of the building's rich heritage. Perfectly suited for couples or business travelers, our 2-bedroom apartment offers two comfortable queen size beds and a full washroom, ensuring a delightful stay.","{
    ""Name"": ""Hotel Le Moyne"",
    ""Location"": ""Old Montreal"",
    ""MainCharacteristic"": ""Breathtaking views of historical charm"",
    ""Type"": ""2-bedroom apartment""
}"
9.48667346553696e+17,Charming hotel near old port&Quartier 207,"Perfectly located for business or leisure, Le Coach Hôtel Montreal is right next to the Old Montreal,  Quartier des Spectacles and Berri Uqam subway station. Nearby you’ll find many places to explore in the old city of Montreal in downtown area including Notre-Dame Basilica. Enjoy the newly renovated rooms with mcm teak & natural wood furnishing, knowing every comfort is provided. Enjoy easy access to popular historic places and restaurants from this charming place to stay.","Charming hotel near old port&Quartier 207
Perfectly located for business or leisure, Le Coach Hôtel Montreal is right next to the Old Montreal,  Quartier des Spectacles and Berri Uqam subway station. Nearby you’ll find many places to explore in the old city of Montreal in downtown area including Notre-Dame Basilica. Enjoy the newly renovated rooms with mcm teak & natural wood furnishing, knowing every comfort is provided. Enjoy easy access to popular historic places and restaurants from this charming place to stay.","```json
{
    ""Name"": ""Le Coach Hôtel Montreal"",
    ""Location"": ""Old Montreal, Quartier des Spectacles, Berri Uqam subway station, Montreal"",
    ""MainCharacteristic"": ""Newly renovated rooms with mcm teak & natural wood furnishing"",
    ""Type"": ""Hotel""
}
```"
8.262463992288686e+17,"Apartment Downtown, Montreal, QC","Nice and cozy apartment with all the comforts, located in the heart of downtown. great variety of restaurants, cafes, and shops at your doorstep.<br />5 min walking to metro station (Places-des-Arts and McGill)<br /><br />- Free WIFI <br />- Fully equipped kitchen<br />- Towels, body wash, shampoo, hair conditioning, hair dryer and more available<br />- 1 Queen size Bed <br />- Smart TV<br />- Work Station<br />- Laundry room available in the building<br /><br />Free street parking spots around the building, or indoor&outdoor parking options $","Apartment Downtown, Montreal, QC
Nice and cozy apartment with all the comforts, located in the heart of downtown. great variety of restaurants, cafes, and shops at your doorstep.<br />5 min walking to metro station (Places-des-Arts and McGill)<br /><br />- Free WIFI <br />- Fully equipped kitchen<br />- Towels, body wash, shampoo, hair conditioning, hair dryer and more available<br />- 1 Queen size Bed <br />- Smart TV<br />- Work Station<br />- Laundry room available in the building<br /><br />Free street parking spots around the building, or indoor&outdoor parking options $","{
    ""Name"": ""Apartment Downtown"",
    ""Location"": ""Montreal, QC"",
    ""MainCharacteristic"": ""Nice and cozy apartment with all the comforts, located in the heart of downtown. Great variety of restaurants, cafes, and shops."",
    ""Type"": ""Apartment""
}"
8.691434538244125e+17,Casa 203 | MileEnd apartment facing Parc Lahaie,"Stay in your fully furnished apartment in the heart of Montreal’s iconic Plateau Mont-Royal. Surrounded by the city's landmarks, facing Mile-End's famous Lahaie Parc.<br /><br />Historic early 20th century building, fully renovated in 2021 in charming apartments with plenty of natural light, including in hallways, heated floor garden. A common rooftop terrace with a breathtaking 360° view of Montreal.<br /><br />Ideal for one who needs a pied-à-terre in Montreal, corporate, or vacation stays.<br />31 days minimum","Casa 203 | MileEnd apartment facing Parc Lahaie
Stay in your fully furnished apartment in the heart of Montreal’s iconic Plateau Mont-Royal. Surrounded by the city's landmarks, facing Mile-End's famous Lahaie Parc.<br /><br />Historic early 20th century building, fully renovated in 2021 in charming apartments with plenty of natural light, including in hallways, heated floor garden. A common rooftop terrace with a breathtaking 360° view of Montreal.<br /><br />Ideal for one who needs a pied-à-terre in Montreal, corporate, or vacation stays.<br />31 days minimum","```json
{
    ""Name"": ""Casa 203 | MileEnd apartment facing Parc Lahaie"",
    ""Location"": ""Montreal"",
    ""MainCharacteristic"": ""Surrounded by landmarks, facing Mile-End's famous Lahaie Parc"",
    ""Type"": ""Apartment""
}
```"
1075759.0,Quiet apartment in  ‘’the village’’,,"Quiet apartment in  ‘’the village’’
","{
    ""Name"": ""Quiet apartment in 'the village'"",
    ""Location"": """",
    ""MainCharacteristic"": ""Tranquilidad"",
    ""Type"": ""Apartamento""
}"
7070701.0,Bright condo near downtown Montreal Ref# 302843,This condo is perfect for a small family or couple. It has a king and double beds as well as a comfortable sofa. <br />Just minutes away from downtown by public transportation or car. The kitchen is fully equiped and washer/dryer are at your disposal.<br /><br />Registration certificate: <br />302843 exp: 10/31/24,"Bright condo near downtown Montreal Ref# 302843
This condo is perfect for a small family or couple. It has a king and double beds as well as a comfortable sofa. <br />Just minutes away from downtown by public transportation or car. The kitchen is fully equiped and washer/dryer are at your disposal.<br /><br />Registration certificate: <br />302843 exp: 10/31/24","```json
{
    ""Name"": ""Bright condo near downtown Montreal Ref# 302843"",
    ""Location"": ""Montreal"",
    ""MainCharacteristic"": ""Fully equipped kitchen and washer/dryer available"",
    ""Type"": ""Condo""
}
```"
1.028958426803146e+18,Quartier des spectacles 3BDR 3BA,"Elegant, modern, historic; located at the crossroads of all 4 ICONIC neighbourhoods; old port, Plateau, Village, Downtown MTL.<br /><br />Enjoy some of the best nightlife, restaurants and pedestrian only streets in Montreal.<br /><br />Walking distance to<br />Berri Uqam: MAIN hub subway train for the entire city (2min)<br />Downtown (1 min)<br />Plateau (5 min)<br />Place des arts (1 min)<br />Grocery/convenience store and SAQ(liquor/wine) (2 mins)<br /><br />Our unit books quickly, act now!","Quartier des spectacles 3BDR 3BA
Elegant, modern, historic; located at the crossroads of all 4 ICONIC neighbourhoods; old port, Plateau, Village, Downtown MTL.<br /><br />Enjoy some of the best nightlife, restaurants and pedestrian only streets in Montreal.<br /><br />Walking distance to<br />Berri Uqam: MAIN hub subway train for the entire city (2min)<br />Downtown (1 min)<br />Plateau (5 min)<br />Place des arts (1 min)<br />Grocery/convenience store and SAQ(liquor/wine) (2 mins)<br /><br />Our unit books quickly, act now!","{
    ""Name"": ""Quartier des spectacles 3BDR 3BA"",
    ""Location"": ""Montreal"",
    ""MainCharacteristic"": ""Located at the crossroads of all 4 iconic neighborhoods"",
    ""Type"": ""Apartment""
}"
30580781.0,Small 2 bedroom apartment Angrignon metro station,"Cosy apartment in a calm and secure residential area close to parks, shopping mall and supermarkets. <br />It will take you just 20 minutes to get to downtown by metro. <br />Fast access from airport - just 15 minutes driving.","Small 2 bedroom apartment Angrignon metro station
Cosy apartment in a calm and secure residential area close to parks, shopping mall and supermarkets. <br />It will take you just 20 minutes to get to downtown by metro. <br />Fast access from airport - just 15 minutes driving.","{
    ""Name"": ""Cozy 2-Bedroom Apartment"",
    ""Location"": ""Angrignon metro station"",
    ""MainCharacteristic"": ""Close to parks, shopping mall and supermarkets"",
    ""Type"": ""Apartment""
}"
